,PERMNO,date,TICKER,SHRCD,TRDSTAT,SECSTAT,PRC,VOL,OPENPRC,ASKHI,BIDLO,BID,ASK,RET,RETX,vwretd,ewretd,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16
22644,11404,20090102,ED,11,A,R,39.26,1519700,39,39.43,38.74,39.21,39.22,0.008477,0.008477,0.030505,0.038274,,,,,-0.915328499,,,,,,,-0.638376313,,,39.19,
22645,11404,20090105,ED,11,A,R,39.47,2185400,39.2,39.67,39.01,39.44,39.45,0.005349,0.005349,-0.000581,0.016764,,,,,-0.87391931,-0.004496247,,,,,,-0.596415444,,,39.08,
22646,11404,20090106,ED,11,A,R,39.13,1451800,39.49,39.74,38.87,39.06,39.17,-0.008614,-0.008614,0.011304,0.033647,,,,1,-0.866695771,-0.003328708,,,-0.763762616,,,-0.483009785,,,38.56,1.006897146
22647,11404,20090107,ED,11,A,R,39.05,2053000,38.59,39.14,38.59,39.08,39.13,-0.002045,-0.002045,-0.03049,-0.022271,,,,11,-0.844771896,0.004410754,,,-0.891042111,,,-0.334731788,,,43.39,0.997206525
22648,11404,20090108,ED,11,A,R,39.46,2633200,39.04,39.71,39.04,39.46,39.47,0.010499,0.010499,0.006286,0.011896,,,,0.454545455,-0.810795511,-0.004762431,,,-0.764705882,,,-0.111927998,,,42.56,0.981099269
22649,11404,20090109,ED,11,A,R,39.66,2696700,39.7,40.26,39.42,39.68,39.7,0.005068,0.005068,-0.022411,-0.018748,,0.004350245,,0.2,-0.718411687,-0.002190195,,,-0.764705882,,0.004810332,0.17090905,,,42.82,1.007012362
22650,11404,20090112,ED,11,A,R,40.29,3357600,39.74,40.95,39.72,40.28,40.29,0.015885,0.015885,-0.025553,-0.026589,,0.014003627,,2,-0.675016026,0.004482755,-0.010188487,,-0.329690237,1.734666448,0.006439779,0.085573028,,,45.84,0.987528653
22651,11404,20090113,ED,11,A,R,39.58,2747900,40.02,40.09,39.3,39.52,39.51,-0.017622,-0.017622,0.003516,0.003554,,0.024774775,,0.5,-0.503427244,0.001000526,-0.020775272,,-0.221162934,-42.98106713,0.012342083,0.114214254,,,43.27,0.997150809
22652,11404,20090114,ED,11,A,R,39.4,2981800,39.33,39.6,38.94,39.45,39.46,-0.004548,-0.004548,-0.0352,-0.035065,,0.001498876,,-1,-0.348838484,0.002855853,-0.011500128,,-0.068041382,0.68895966,0.011312248,0.519723132,,,49.14,0.983815807
22653,11404,20090115,ED,11,A,R,39.76,1804500,39.29,39.77,38.94,39.67,39.68,0.009137,0.009137,0.004637,0.00563,,-0.013010319,,-1,-0.277118881,-0.003334685,-0.008962868,,0.200445931,-0.154476878,0.009056327,0.379529567,,,51,0.982428205
22654,11404,20090116,ED,11,A,R,40.07,2479100,39.96,40.27,39.6,40.02,40.04,0.007797,0.007797,0.008431,0.008792,,-0.009069617,,1,-0.195611301,-0.010241151,-0.007602636,6,0.872871561,0.262328985,0.008440368,0.536905091,,,46.11,1.009918959
22655,11404,20090120,ED,11,A,R,39.5,3068400,39.96,40.82,39.49,39.53,39.56,-0.014225,-0.014225,-0.055276,-0.051506,,0.003338649,,2,0.06503846,-0.003404171,-0.010337872,5.6,0.872871561,1.376199188,0.009006779,0.612459608,,,56.65,1.017009686
22656,11404,20090121,ED,11,A,R,40.04,2512800,39.85,40.08,39.05,39.91,39.96,0.013671,0.013671,0.043231,0.036151,,0.017701321,,1.5,0.455037533,0.016442864,0.019607843,7.7,0.872871561,-1.163190232,0.006670298,0.625841334,,,46.42,0.981107752
22657,11404,20090122,ED,11,A,R,40.05,3807200,39.8,40.31,39.5,40,40.05,0.00025,0.00025,-0.018219,-0.02196,,-0.000698115,,1.666666667,0.571389536,-0.011946851,-0.011622031,9,0.80467847,-11.29550626,0.007611444,0.698162689,,,47.29,1.01858774
